NORMA,ART,APT,OPC,PTOS,CALIF,INFRACCION,MULTA,RESPONS,COMENTARIO,MATERIA
CIR,2,1,5D,0,Leve,"Comportarse Indebidamente En La Circulación Causando Peligro A Las Personas. (Deberá Indicarse Detalladamente El Comportamiento Y/O El
Tipo De Peligro Causado)",100;50,Conductor Usuario,,COMPORTA MIENTO INDEBIDO
CIR,2,1,5E,0,Leve,"Comportarse Indebidamente En La Circulación Entorpeciendo La Misma, Causando Perjuicios Y Molestias Innecesarias A Las Personas O Daños A Los Bienes. (Deberá Indicarse Detalladamente El Comportamiento Y/O El Tipo De Perjuicio, Molestia O Daño
Causados.)",80;40,Conductor Usuario,"NOTA: Tendrían cabida en este supuesto, por ejemplo, circular con el volumen elevado del reproductor de sonido al circular por travesías o vías urbanas, ya que tal conducta puede ""causar una molestia innecesaria a las personas que habitan en los inmuebles cercanos a la vía"".",COMPORTA MIENTO INDEBIDO
CIR,3,1,5A,6,"Muy grave 077.-
E)",Conducir De Forma Temeraria. (Describir Con Detalle La Conducta Merecedora Del Calificativo De Temeraria),500;250,Conductor,"NOTA: Habrá que tener en cuenta, a efectos de traslado al Ministerio Fiscal, los casos en los que los hechos pudieran ser constitutivos de delito previsto en el art. 380 del Código Penal. La temeridad manifiesta consiste en la ""transgresión notoria de las más elementales normas de tráfico creando peligro (concreto peligro)
grave para terceros""",CONDUCC. TEMERARIA
CIR,3,1,5C,0,Grave 076.- M),"Conducir Sin La Diligencia
,Precaución Y No Distracción Necesarios Para Evitar Todo Daño Propio O Ajeno (Deberá Detallarse La Conducta)",200;100,Conductor,,CONDUCC. NEGLIGENT E
CIR,3,1,5D,0,Grave 076.- M),"Conducir De Forma
Negligente Creando Una Situación De Riesgo O Peligro Para Sí Mismo, Los Demás Ocupantes Del Vehículo O Al Resto De Usuarios De La Vía. (Deberá Detallarse, De Modo Sucinto Y Claro, La Conducta Y El Riesgo O
 Peligro Que Implica.)",200;100,Conductor,"NOTA: En el caso de que no quedase suficientemente justificada la creación de la situación de riesgo o peligro, se optará por dar de alta el procedimiento incoado mediante el precepto CIR 3-1- 5C",CONDUCC. NEGLIGENT E
CIR,4,2,5A,4,Grave 076.- N),"Arrojar Sobre La Vía Objetos O Materias Que Hagan Peligrosa La Libre Circulación, Parada O Estacionamiento O Deteriorar Aquella O Sus Instalaciones (Deberá Indicarse El Objeto O Materia Que Cause El Peligro O Deterioro)",200;100,Conductor Usuario,"NOTA: Habrá que tener en cuenta, a efectos de traslado al Ministerio Fiscal,los casos en los que los hechos pudieran ser constitutivos de delito previsto en el art. 385 del Código Penal por originar un grave riesgo para la circulación colocando en la vía obstáculos imprevisibles, derramando sustancias deslizantes o inflamables o por cualquier otro
medio",COMPORTA MIENTO INDEBIDO
CIR,4,2,5B,0,Leve,"Depositar O Abandonar Sobre La Vía Objetos O Materias Que Puedan Entorpecer La Libre Circulación, Parada O Estacionamiento (Deberá Indicarse El Objeto O Materia Que Cause El Entorpecimiento)",80;40,Conductor Usuario,"NOTA: Habrá que tener en cuenta, a efectos de traslado al Ministerio Fiscal,los casos en los que los hechos pudieran ser constitutivos de delito previsto en el art. 385 del Código Penal por originar un grave riesgo para la circulación colocando en la vía obstáculos imprevisibles, derramando sustancias deslizantes o inflamables o por cualquier otro
medio",COMPORTA MIENTO INDEBIDO
CIR,4,3,5B,0,Leve,"Realizar Actuaciones, Rodajes, Encuestas O Ensayos, Que Aunque Sean Con Carácter Provisional O Temporal, Puedan Entorpecer La Circulación (Detallar Los
 Hechos)",80;40,Autor,,ENTORPE. CIRCULAC.
CIR,5,1,5A,0,Leve,No Hacer Desaparecer Lo Antes Posible Un Obstáculo O Peligro En La Vía Por Quien Lo Ha Creado (Deberá Indicarse El Obstáculo O Peligro Existente),80;40,Conductor Usuario,"NOTA: Habrá que tener en cuenta, a efectos de traslado al Ministerio Fiscal,los casos en los que los hechos pudieran ser constitutivos de delito previsto en el art. 385 del Código Penal por originar un grave riesgo para la circulación colocando en la vía obstáculos imprevisibles, derramando sustancias deslizantes o inflamables o por cualquier otro
medio",SEÑALIZACi ÓN
CIR,5,1,5B,0,Leve,"No Adoptar Las Medidas Necesarias Para Que El Resto De Usuarios Puedan Advertir Un Obstáculo O Peligro En La Vía Por Quien Lo Ha Creado. (Deberá Indicarse El Obstáculo O
Peligro Existente)",80;40,Conductor Usuario,"NOTA: Para advertir la presencia en la vía de cualquier obstáculo o peligro creado, el causante del mismo deberá señalizarlo de forma eficaz, tanto de día como de noche (art. 130.3, 140 y 173 RGCir).",SEÑALIZACi ÓN
CIR,5,3,5A,0,Leve,"No Señalizar De Forma Eficaz (Tanto De Dia Como De Noche) Un Obstaculo O Peligro En La Vía Por Quien Lo Ha Creado. (Deberá Indicarse La Señalización Empleada O
La Falta De La Misma)",80;40,Conductor Usuario,NOTA: Al igual que en el caso anterior la creación del obstáculo debe ser involuntaria.,SEÑALIZACi ÓN
CIR,5,6,5A,0,Leve,"Detener, Parar O Estacionar Los Vehículos Destinados A Los Servicios De Urgencia, Asistencia Mecánica O De Conservación De Carreteras En Lugar Distinto Del Fijado Por Los Agentes De La Autoridad Responsables
 Del Tráfico",80;40,Conductor,NOTA: Todas las actuaciones a realizar con este tipo de vehículos deberá regirse por los principios de utilización de los recursos idóneos y estrictamente necesarios en cada caso.,PARADA
